Title,Number of Reviews,Rating,Bought Last Month,Price After Discount,MRP,Image URL,Product ID,5 Star Percentage,4 Star Percentage,3 Star Percentage,2 Star Percentage,1 Star Percentage,Bought Last Month (Numeric)
"Enter Usb Game Pad With Vibration E-Gpv, PC, Gamepad",3100,3.3,1K+ bought in past month,358.0,750.0,https://m.media-amazon.com/images/I/718AG-9zAOL._AC_UY218_.jpg,21,37%,18%,11%,7%,27%,1000
"EvoFox Elite X2 Wireless Gaming Controller For PC, Dual-Mode (2.4G & Type C), Hallsense™ Magnetic Hall 3D Joysticks & Triggers Gamepad, EZ Click Macros, New Precision & Turbo Mode, Dual Vibration Motors(Grey)",1075,4.1,600+ bought in past month,1799.0,2499.0,https://m.media-amazon.com/images/I/61RsilGqZFL._AC_UY218_.jpg,22,61%,18%,6%,4%,11%,600
"Cosmic Byte Blitz Wireless + Wired Controller for PC, Hall Effect Joystick & Triggers, 1000Hz Polling Rate, Adjustable Vibration, Turbo & Auto Turbo (Grey)",383,4.2,300+ bought in past month,2099.0,3999.0,https://m.media-amazon.com/images/I/41-aWsAIU2L._AC_UY218_.jpg,23,62%,20%,5%,2%,11%,300
"PowerA Wired Gaming Controller for Xbox Series X/S, Xbox One, PC, Windows 10/11, Black (Officially Licensed)",15958,4.0,100+ bought in past month,2699.0,4499.0,https://m.media-amazon.com/images/I/81nGpi7MaqL._AC_UY218_.jpg,24,59%,17%,8%,3%,13%,100
"Cosmic Byte Stellaris Controller, 3 Modes Wifi + Bluetooth + Wired for PC, iOS, Android, Hall Effect Magnetic Trigger and Joystick, Macros, 1000mAh Battery, RGB LED (Transparent)",409,4.2,100+ bought in past month,3099.0,5999.0,https://m.media-amazon.com/images/I/61wjC1-mFLL._AC_UY218_.jpg,25,61%,22%,4%,2%,11%,100
"EvoFox One S Universal 3-Mode Wireless Gaming Controller – HallSense™ Precision Joysticks, Bluetooth 5.0, 2.4GHz & Wired Connectivity, Macro & Precision Buttons, Fast Type-C Charging & Dual Vibration, for PC, Mobile, Android TV, PS4 & Console Gaming",1075,4.1,300+ bought in past month,1599.0,2299.0,https://m.media-amazon.com/images/I/61zsBElkHyL._AC_UY218_.jpg,26,61%,18%,6%,4%,11%,300
"PowerA Advantage Wired Gaming Controller for Xbox Series X/S, Xbox One, PC, Windows 10/11, Pink Lemonade, Pink/Yellow (Officially Licensed)",3609,4.2,,2999.0,299900.0,https://m.media-amazon.com/images/I/61TK0ecvyBL._AC_UY218_.jpg,27,61%,20%,6%,3%,10%,0
Khushi Decor GreyTheme 3M Skin Sticker Cover for PS4 Console and 2 Controller Decal Cover+ 4 Led bar Decal Sticker (Pack of 1),2,3.5,,446.0,999.0,https://m.media-amazon.com/images/I/71YVLyLasIL._AC_UY218_.jpg,28,51%,0%,0%,49%,0%,0
"One94Store Rechargeable Silicone Panda Night Light for Kids | 7-Color LED Changing Lamp |Adorable Room Decor & Gift for Toddlers, Teens, & Valentine's Day Present|Soft BPA-Free Nightlight| Multicolour",0,4.1,,399.0,1999.0,,29,60%,20%,5%,3%,12%,0
"EvoFox One S Universal 3-Mode Wireless Gaming Controller – HallSense™ Precision Joysticks, Bluetooth 5.0, 2.4GHz & Wired Connectivity, Macro & Precision Buttons, Fast Type-C Charging & Dual Vibration, for PC, Mobile, Android TV, PS4 & Console Gaming",1075,4.1,300+ bought in past month,1599.0,2299.0,https://m.media-amazon.com/images/I/61zsBElkHyL._AC_UY218_.jpg,30,61%,18%,6%,4%,11%,300
