Title,Number_of_Reviews,Rating,Bought_Last_Month,Price_After_Discount,MRP,Image_URL,Product_ID,Star_Rating_Percentage
Singh Packagings - Twin Vibration Wireless Analog Controller Compatible for PS2/PS1/PSX - 2.4G Dual Vibration Gamepad Remote Joypad with Receiver- Compatible with Playstation2 (Batteries Not Included),44,"3.9 out of 5 stars, rating details",null,845,"₹1,499",https://m.media-amazon.com/images/I/41cwwZ0b0AL._AC_UY218_.jpg,17,"{5: '49%', 4: '27%', 3: '9%', 2: '0%', 1: '15%'}"
"MANYCAST Voice Air Mouse Remote Controller with 2.4 Ghz Wireless Connection, Intelligent Learning (IR) Air Fly Smart Remote for PC, Smart TV, Android TV Box",null,"3.5 out of 5 stars, rating details",null,999,"₹1,999",null,18,"{5: '31%', 4: '31%', 3: '13%', 2: '13%', 1: '12%'}"
"Cosmic Byte Nexus Wireless Controller for PC | Dual Vibration, Sensitive Triggers, Fast Response | Powered by 2 AAA Batteries (Not Included) (White)",23,"3.8 out of 5 stars, rating details",300+ bought in past month,799,"₹1,699",https://m.media-amazon.com/images/I/51WoUUGlD4L._AC_UY218_.jpg,19,"{5: '49%', 4: '18%', 3: '11%', 2: '5%', 1: '17%'}"
"Cosmic Byte ARES Wired Controller for PC, Magnetic Triggers, Accurate Joysticks, Dual Vibration, Backit LED Buttons (White)","1,570","4.3 out of 5 stars, rating details",500+ bought in past month,"1,149","₹2,699",https://m.media-amazon.com/images/I/51gHWwp0c3L._AC_UY218_.jpg,20,"{5: '63%', 4: '23%', 3: '6%', 2: '2%', 1: '6%'}"
"Enter Usb Game Pad With Vibration E-Gpv, PC, Gamepad","3,100","3.3 out of 5 stars, rating details",1K+ bought in past month,358,₹750,https://m.media-amazon.com/images/I/718AG-9zAOL._AC_UY218_.jpg,21,"{5: '37%', 4: '18%', 3: '11%', 2: '7%', 1: '27%'}"
"EvoFox Elite X2 Wireless Gaming Controller For PC, Dual-Mode (2.4G & Type C), Hallsense™ Magnetic Hall 3D Joysticks & Triggers Gamepad, EZ Click Macros, New Precision & Turbo Mode, Dual Vibration Motors(Grey)","1,075","4.1 out of 5 stars, rating details",600+ bought in past month,"1,799","₹2,499",https://m.media-amazon.com/images/I/61RsilGqZFL._AC_UY218_.jpg,22,"{5: '61%', 4: '18%', 3: '6%', 2: '4%', 1: '11%'}"
"Cosmic Byte Blitz Wireless + Wired Controller for PC, Hall Effect Joystick & Triggers, 1000Hz Polling Rate, Adjustable Vibration, Turbo & Auto Turbo (Grey)",383,"4.2 out of 5 stars, rating details",300+ bought in past month,"2,099","₹3,999",https://m.media-amazon.com/images/I/41-aWsAIU2L._AC_UY218_.jpg,23,"{5: '62%', 4: '20%', 3: '5%', 2: '2%', 1: '11%'}"
"PowerA Wired Gaming Controller for Xbox Series X/S, Xbox One, PC, Windows 10/11, Black (Officially Licensed)","15,958","4.0 out of 5 stars, rating details",100+ bought in past month,"2,699","₹4,499",https://m.media-amazon.com/images/I/81nGpi7MaqL._AC_UY218_.jpg,24,"{5: '59%', 4: '17%', 3: '8%', 2: '3%', 1: '13%'}"
"Cosmic Byte Stellaris Controller, 3 Modes Wifi + Bluetooth + Wired for PC, iOS, Android, Hall Effect Magnetic Trigger and Joystick, Macros, 1000mAh Battery, RGB LED (Transparent)",409,"4.2 out of 5 stars, rating details",100+ bought in past month,"3,099","₹5,999",https://m.media-amazon.com/images/I/61wjC1-mFLL._AC_UY218_.jpg,25,"{5: '61%', 4: '22%', 3: '4%', 2: '2%', 1: '11%'}"
"EvoFox One S Universal 3-Mode Wireless Gaming Controller – HallSense™ Precision Joysticks, Bluetooth 5.0, 2.4GHz & Wired Connectivity, Macro & Precision Buttons, Fast Type-C Charging & Dual Vibration, for PC, Mobile, Android TV, PS4 & Console Gaming","1,075","4.1 out of 5 stars, rating details",300+ bought in past month,"1,599","₹2,299",https://m.media-amazon.com/images/I/61zsBElkHyL._AC_UY218_.jpg,26,"{5: '61%', 4: '18%', 3: '6%', 2: '4%', 1: '11%'}"
